area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Kothanur,1400.0,2.0,1.0,70.0,2,5000.0
Super built-up  Area,Kothanur,1581.0,3.0,3.0,76.0,3,4807.084123972169
Super built-up  Area,Kothanur,1385.0,3.0,3.0,67.0,3,4837.545126353791
Super built-up  Area,Kothanur,1140.0,2.0,2.0,56.0,2,4912.2807017543855
Super built-up  Area,Kothanur,1787.0,3.0,2.0,120.0,3,6715.165081141578
Super built-up  Area,Kothanur,1185.0,2.0,2.0,59.0,2,4978.9029535864975
Super built-up  Area,Kothanur,1130.0,2.0,2.0,55.0,2,4867.256637168141
Super built-up  Area,Kothanur,1094.0,2.0,2.0,54.0,2,4936.014625228519
Built-up  Area,Kothanur,1170.0,3.0,2.0,80.0,3,6837.606837606838
Built-up  Area,Kothanur,1400.0,2.0,2.0,65.0,2,4642.857142857143
Super built-up  Area,Kothanur,1195.0,2.0,2.0,59.0,2,4937.238493723849
Super built-up  Area,Kothanur,1790.0,3.0,2.0,120.0,3,6703.91061452514
Super built-up  Area,Kothanur,1454.0,3.0,3.0,71.5,3,4917.469050894085
Super built-up  Area,Kudlu,1152.0,2.0,1.0,53.5,2,4644.097222222223
Super built-up  Area,Kudlu,1027.0,2.0,2.0,43.0,2,4186.952288218111
Super built-up  Area,Kudlu,1092.0,2.0,2.0,44.0,2,4029.3040293040294
Super built-up  Area,Kudlu,1143.0,2.0,1.0,55.0,2,4811.898512685914
Super built-up  Area,Kudlu,1455.0,2.0,3.0,60.0,3,4123.711340206186
Super built-up  Area,Kudlu,1024.0,2.0,2.0,44.0,2,4296.875
Super built-up  Area,Kudlu,1570.0,2.0,2.0,65.94,3,4200.0
Built-up  Area,Kudlu,1600.0,3.0,3.0,79.0,3,4937.5
Super built-up  Area,Kudlu,1027.0,2.0,2.0,42.0,2,4089.581304771178
Built-up  Area,Kudlu,1076.0,2.0,1.0,50.0,2,4646.840148698885
Super built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2,4284.323271665044
Super built-up  Area,Kudlu,1084.0,2.0,1.0,53.0,2,4889.29889298893
Built-up  Area,Kudlu,1300.0,2.0,2.0,56.0,2,4307.692307692308
Built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2,4284.323271665044
Carpet  Area,Kudlu,1245.0,2.0,1.0,60.0,3,4819.277108433735
Super built-up  Area,Kudlu,1027.0,2.0,1.0,44.0,2,4284.323271665044
Built-up  Area,Kudlu,1110.0,2.0,1.0,46.0,2,4144.144144144144
Super built-up  Area,Kudlu,2100.0,3.0,1.0,114.0,4,5428.571428571428
Super built-up  Area,Kudlu,720.0,1.0,1.0,33.0,1,4583.333333333333
Super built-up  Area,Kudlu,1162.0,2.0,1.0,52.0,2,4475.043029259897
Super built-up  Area,Kudlu,1041.0,2.0,1.0,53.0,2,5091.258405379443
Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3,5407.166123778502
Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,85.0,3,5537.459283387622
Super built-up  Area,Kudlu Gate,1535.0,3.0,1.0,78.0,3,5081.4332247557
Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,86.0,3,5602.605863192182
Super built-up  Area,Kudlu Gate,1564.0,2.0,1.0,92.0,3,5882.35294117647
Super built-up  Area,Kudlu Gate,1364.0,2.0,3.0,46.38,3,3400.293255131965
Super built-up  Area,Kudlu Gate,1238.0,2.0,3.0,55.0,2,4442.64943457189
Super built-up  Area,Kudlu Gate,1707.0,2.0,2.0,99.745,3,5843.2923257176335
Built-up  Area,Kudlu Gate,1335.0,3.0,2.0,89.0,3,6666.666666666667
Super built-up  Area,Kudlu Gate,703.0,1.0,1.0,52.0,1,7396.870554765292
Super built-up  Area,Kudlu Gate,1532.0,3.0,2.0,83.0,3,5417.754569190601
Super built-up  Area,Kudlu Gate,1113.0,2.0,1.0,50.0,2,4492.36298292902
Super built-up  Area,Kudlu Gate,1465.0,2.0,2.0,49.81,3,3400.0
Super built-up  Area,Kudlu Gate,1185.0,2.0,1.0,50.0,2,4219.4092827004215
Super built-up  Area,Kudlu Gate,1664.0,3.0,2.0,68.0,3,4086.5384615384614
Super built-up  Area,Kudlu Gate,1656.0,3.0,2.0,80.0,3,4830.917874396136
Super built-up  Area,Kudlu Gate,1656.0,3.0,2.0,75.0,3,4528.985507246377
Super built-up  Area,Kudlu Gate,1215.0,2.0,1.0,45.0,2,3703.703703703704
Built-up  Area,Kudlu Gate,812.0,2.0,1.0,38.25,2,4710.591133004926
Super built-up  Area,Kudlu Gate,1547.0,2.0,2.0,103.0,2,6658.047834518423
Built-up  Area,Kudlu Gate,1336.0,2.0,1.0,86.0,2,6437.125748502994
Built-up  Area,Kudlu Gate,1919.0,3.0,2.0,121.0,3,6305.367378843148
Super built-up  Area,Kudlu Gate,1464.0,3.0,3.0,56.0,2,3825.136612021858
Super built-up  Area,Kudlu Gate,1850.0,3.0,2.0,120.0,3,6486.486486486487
Super built-up  Area,Kudlu Gate,940.0,2.0,1.0,69.57,2,7401.063829787233
Super built-up  Area,Kudlu Gate,1215.0,2.0,1.0,44.96,2,3700.411522633745
Built-up  Area,Kudlu Gate,1164.0,2.0,2.0,75.0,2,6443.298969072165
Built-up  Area,Kudlu Gate,3850.0,6.0,0.0,205.0,4,5324.675324675325
Super built-up  Area,Kudlu Gate,1183.0,2.0,1.0,79.54,2,6723.584108199494
Super built-up  Area,Kudlu Gate,1850.0,3.0,2.0,110.0,3,5945.945945945946
Super built-up  Area,Kudlu Gate,1320.0,2.0,2.0,50.0,3,3787.878787878788
Super built-up  Area,Kudlu Gate,1183.0,2.0,1.0,79.54,2,6723.584108199494
Super built-up  Area,Kudlu Gate,1200.0,2.0,1.0,44.4,2,3700.0
Super built-up  Area,Kudlu Gate,1432.0,2.0,2.0,61.11,3,4267.458100558659
Built-up  Area,Kudlu Gate,1310.0,2.0,2.0,53.0,2,4045.8015267175574
Plot  Area,Kumaraswami Layout,2000.0,4.0,1.0,139.0,4,6950.0
Super built-up  Area,Kumaraswami Layout,1000.0,2.0,1.0,48.5,2,4850.0
Super built-up  Area,Kumaraswami Layout,1000.0,2.0,1.0,58.0,2,5800.0
Built-up  Area,Kumaraswami Layout,2400.0,7.0,1.0,125.0,7,5208.333333333333
Built-up  Area,Kumaraswami Layout,2400.0,2.0,1.0,125.0,3,5208.333333333333
Built-up  Area,Kumaraswami Layout,1310.0,2.0,1.0,70.0,3,5343.511450381679
Built-up  Area,Kumaraswami Layout,850.0,1.0,1.0,78.0,1,9176.470588235294
Built-up  Area,Kumaraswami Layout,3200.0,7.0,0.0,150.0,7,4687.5
Built-up  Area,Kumaraswami Layout,1310.0,2.0,1.0,85.0,3,6488.5496183206105
Built-up  Area,Kumaraswami Layout,2450.0,3.0,2.0,110.0,4,4489.7959183673465
Built-up  Area,Kumaraswami Layout,3100.0,7.0,3.0,145.0,7,4677.419354838709
Built-up  Area,Kumaraswami Layout,1200.0,3.0,1.0,75.0,3,6250.0
Super built-up  Area,Kumaraswami Layout,1081.0,2.0,3.0,60.0,2,5550.416281221092
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3,7250.580046403712
Built-up  Area,Kundalahalli,1030.0,2.0,2.0,49.0,2,4757.281553398058
Super built-up  Area,Kundalahalli,735.0,2.0,1.0,57.99,2,7889.7959183673465
Built-up  Area,Kundalahalli,1047.0,2.0,1.0,82.0,2,7831.900668576886
Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3,7516.1059413027915
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,127.0,3,7366.589327146172
Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,49.27,2,4878.217821782178
Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,110.0,3,7874.0157480314965
Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,104.0,3,7444.523979957051
Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,108.0,3,7730.851825340014
Super built-up  Area,Kundalahalli,1920.0,3.0,2.0,150.0,3,7812.5
Super built-up  Area,Kundalahalli,1800.0,3.0,3.0,80.0,3,4444.444444444444
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,124.0,3,7192.5754060324825
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,84.0,2,8022.9226361031515
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,83.0,2,7927.411652340019
Plot  Area,Kundalahalli,7000.0,4.0,3.0,550.0,4,7857.142857142857
Super built-up  Area,Kundalahalli,2075.0,3.0,1.0,115.0,3,5542.168674698795
Super built-up  Area,Kundalahalli,1120.0,2.0,1.0,53.76,2,4800.0
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,82.62,2,7891.117478510028
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,91.0,2,8691.499522445081
Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,146.0,3,8468.677494199535
Plot  Area,Kundalahalli,1600.0,3.0,2.0,170.0,3,10625.0
Super built-up  Area,Kundalahalli,1496.0,2.0,3.0,78.0,3,5213.903743315508
Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,125.0,3,7250.580046403712
Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,48.27,2,4779.207920792079
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,89.0,2,8500.477554918816
Plot  Area,Kundalahalli,2500.0,5.0,2.0,245.0,4,9800.0
Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3,7516.1059413027915
Built-up  Area,Kundalahalli,1800.0,3.0,2.0,110.0,3,6111.111111111111
Super built-up  Area,Kundalahalli,1047.0,2.0,1.0,72.0,2,6876.790830945559
Built-up  Area,Kundalahalli,1260.0,2.0,0.0,58.0,2,4603.174603174603
Built-up  Area,Kundalahalli,3092.0,4.0,3.0,230.0,4,7438.551099611902
Built-up  Area,Kundalahalli,1065.0,2.0,1.0,70.0,2,6572.769953051643
Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,146.0,3,8468.677494199535
Super built-up  Area,Kundalahalli,1047.0,2.0,2.0,91.0,2,8691.499522445081
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,128.0,3,7424.593967517401
Super built-up  Area,Kundalahalli,1315.0,2.0,3.0,74.0,2,5627.376425855513
Built-up  Area,Kundalahalli,2100.0,3.0,2.0,150.0,3,7142.857142857143
Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,125.0,3,7250.580046403712
Super built-up  Area,Kundalahalli,1724.0,3.0,3.0,140.0,3,8120.649651972158
Super built-up  Area,Kundalahalli,1175.0,2.0,1.0,65.0,2,5531.914893617021
Built-up  Area,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3,4062.5
Carpet  Area,LB Shastri Nagar,1043.0,2.0,2.0,55.0,2,5273.250239693192
Built-up  Area,LB Shastri Nagar,1184.0,2.0,1.0,69.0,2,5827.7027027027025
Super built-up  Area,LB Shastri Nagar,665.0,1.0,2.0,32.0,1,4812.0300751879695
Super built-up  Area,LB Shastri Nagar,1250.0,2.0,2.0,48.5,2,3880.0
Super built-up  Area,LB Shastri Nagar,1400.0,2.0,2.0,80.0,3,5714.285714285715
Super built-up  Area,LB Shastri Nagar,1184.0,2.0,1.0,62.0,2,5236.486486486487
Super built-up  Area,LB Shastri Nagar,1200.0,2.0,1.0,47.0,2,3916.6666666666665
Built-up  Area,LB Shastri Nagar,1200.0,2.0,1.0,75.0,2,6250.0
Super built-up  Area,LB Shastri Nagar,1000.0,2.0,1.0,49.5,2,4950.0
Plot  Area,Laggere,2800.0,5.0,2.0,125.0,5,4464.285714285715
Plot  Area,Laggere,1200.0,3.0,1.0,130.0,3,10833.333333333334
Plot  Area,Laggere,1200.0,1.0,1.0,125.0,1,10416.666666666666
Plot  Area,Laggere,1200.0,2.0,0.0,75.0,2,6250.0
Built-up  Area,Laggere,620.0,2.0,0.0,48.0,1,7741.935483870968
Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,6329.113924050633
Super built-up  Area,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3,6750.0
Built-up  Area,Lakshminarayana Pura,1180.0,2.0,2.0,75.0,2,6355.932203389831
Super built-up  Area,Lakshminarayana Pura,1172.0,2.0,2.0,82.0,2,6996.587030716723
Built-up  Area,Lakshminarayana Pura,1179.0,2.0,1.0,75.0,2,6361.323155216285
Super built-up  Area,Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2,6527.415143603133
Super built-up  Area,Lakshminarayana Pura,1336.0,2.0,2.0,100.0,2,7485.029940119761
Super built-up  Area,Lakshminarayana Pura,1175.0,2.0,2.0,75.0,2,6382.978723404255
Super built-up  Area,Lakshminarayana Pura,1190.0,2.0,1.0,75.0,2,6302.5210084033615
Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,75.0,2,6250.0
Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,2.0,75.0,2,6250.0
Built-up  Area,Lakshminarayana Pura,1165.0,2.0,2.0,75.0,2,6437.768240343347
Super built-up  Area,Lakshminarayana Pura,1145.0,2.0,1.0,75.0,2,6550.218340611354
Super built-up  Area,Lakshminarayana Pura,1500.0,3.0,2.0,104.0,3,6933.333333333333
Super built-up  Area,Lakshminarayana Pura,1210.0,2.0,2.0,75.0,2,6198.347107438017
Built-up  Area,Lakshminarayana Pura,1169.0,2.0,2.0,75.0,2,6415.739948674081
Built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,75.0,2,6250.0
Built-up  Area,Lakshminarayana Pura,1172.0,2.0,1.0,75.0,2,6399.317406143345
Super built-up  Area,Lakshminarayana Pura,1172.0,2.0,2.0,75.0,2,6399.317406143345
Super built-up  Area,Lakshminarayana Pura,1180.0,2.0,1.0,75.0,2,6355.932203389831
Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,3.0,83.0,2,6916.666666666667
Super built-up  Area,Lakshminarayana Pura,1200.0,2.0,2.0,80.0,2,6666.666666666667
Built-up  Area,Lakshminarayana Pura,1195.0,2.0,1.0,75.0,2,6276.150627615063
Built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,80.0,2,6666.666666666667
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,6245.890861275477
Super built-up  Area,Lingadheeranahalli,1511.0,3.0,1.0,95.0,3,6287.22700198544
Super built-up  Area,Lingadheeranahalli,1683.0,3.0,1.0,109.0,3,6476.5300059417705
Super built-up  Area,Lingadheeranahalli,1519.0,3.0,1.0,93.0,3,6122.448979591837
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.99,3,6245.233399079553
Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,120.0,3,7134.36385255648
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.71,3,6226.824457593689
Super built-up  Area,Lingadheeranahalli,1893.0,3.0,1.0,130.0,3,6867.406233491812
Super built-up  Area,Lingadheeranahalli,1705.0,3.0,1.0,110.0,3,6451.612903225807
Super built-up  Area,Lingadheeranahalli,2245.0,4.0,2.0,154.0,4,6859.688195991092
Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,113.0,3,6718.192627824019
Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,114.0,3,6777.645659928657
Super built-up  Area,Lingadheeranahalli,1506.0,3.0,1.0,95.0,3,6308.100929614874
Super built-up  Area,Lingadheeranahalli,1683.0,3.0,1.0,110.0,3,6535.9477124183
Super built-up  Area,Lingadheeranahalli,1684.0,3.0,1.0,120.0,3,7125.890736342043
Super built-up  Area,Lingadheeranahalli,2236.0,4.0,2.0,153.0,4,6842.57602862254
Super built-up  Area,Lingadheeranahalli,1894.0,4.0,1.0,114.0,3,6019.007391763464
Super built-up  Area,Lingadheeranahalli,2240.0,4.0,2.0,160.0,4,7142.857142857143
Built-up  Area,Magadi Road,3600.0,6.0,0.0,141.0,6,3916.6666666666665
Super built-up  Area,Magadi Road,1116.0,2.0,1.0,50.0,2,4480.286738351255
Super built-up  Area,Magadi Road,1282.0,2.0,2.0,49.0,3,3822.1528861154447
Super built-up  Area,Magadi Road,884.0,2.0,1.0,41.1,2,4649.321266968326
Super built-up  Area,Magadi Road,1005.0,2.0,1.0,55.78,2,5550.248756218905
Super built-up  Area,Magadi Road,1000.0,2.0,0.0,46.5,2,4650.0
Plot  Area,Magadi Road,1500.0,2.0,2.0,93.0,4,6200.0
Super built-up  Area,Magadi Road,1322.0,2.0,2.0,58.82,3,4449.3192133131615
Built-up  Area,Magadi Road,1345.0,2.0,2.0,55.0,2,4089.2193308550186
Super built-up  Area,Magadi Road,1191.0,2.0,1.0,55.38,3,4649.8740554156175
Plot  Area,Magadi Road,5000.0,6.0,1.0,360.0,5,7200.0
Super built-up  Area,Magadi Road,1116.0,2.0,1.0,51.89,2,4649.641577060932
Super built-up  Area,Magadi Road,1052.0,2.0,1.0,60.0,3,5703.42205323194
Super built-up  Area,Magadi Road,940.0,2.0,2.0,50.0,2,5319.148936170212
Super built-up  Area,Magadi Road,1318.0,2.0,1.0,68.0,3,5159.332321699545
Super built-up  Area,Magadi Road,1187.0,2.0,0.0,55.195,3,4649.957877000842
Super built-up  Area,Magadi Road,884.0,2.0,1.0,48.0,2,5429.864253393665
Super built-up  Area,Mahadevpura,1720.0,3.0,3.0,78.0,3,4534.883720930233
Super built-up  Area,Mahadevpura,1150.0,2.0,3.0,52.0,2,4521.739130434783
Super built-up  Area,Mahadevpura,1250.0,2.0,3.0,52.0,2,4160.0
Super built-up  Area,Mahadevpura,1260.0,2.0,3.0,57.6,2,4571.428571428572
Super built-up  Area,Mahadevpura,730.0,1.0,1.0,35.0,1,4794.520547945205
Super built-up  Area,Mahadevpura,1434.0,2.0,1.0,67.39,3,4699.442119944212
Super built-up  Area,Mahadevpura,1146.0,2.0,1.0,53.8,2,4694.5898778359515
Super built-up  Area,Mahadevpura,1532.0,2.0,2.0,62.0,2,4046.9973890339425
Super built-up  Area,Mahadevpura,1620.0,2.0,1.0,76.0,3,4691.358024691358
Super built-up  Area,Mahadevpura,1136.0,2.0,3.0,64.5,2,5677.816901408451
Super built-up  Area,Mahadevpura,1400.0,2.0,2.0,65.8,3,4700.0
Super built-up  Area,Mahadevpura,1137.0,2.0,1.0,53.4,2,4696.5699208443275
Super built-up  Area,Mahadevpura,1601.0,3.0,2.0,95.0,3,5933.791380387258
Super built-up  Area,Mahadevpura,1450.0,3.0,2.0,75.0,3,5172.413793103448
Super built-up  Area,Mahadevpura,1152.0,2.0,1.0,54.0,2,4687.5
Super built-up  Area,Mahadevpura,1212.0,2.0,1.0,56.9,2,4694.7194719471945
Super built-up  Area,Mahadevpura,1505.0,3.0,2.0,64.0,3,4252.491694352159
Super built-up  Area,Mahadevpura,1505.0,3.0,2.0,78.0,3,5182.724252491695
Super built-up  Area,Mahadevpura,1500.0,2.0,1.0,70.0,3,4666.666666666667
Super built-up  Area,Mahadevpura,1236.0,2.0,1.0,58.0,2,4692.556634304207
Super built-up  Area,Mahadevpura,1120.0,2.0,2.0,53.0,2,4732.142857142857
Plot  Area,Mahalakshmi Layout,1575.0,5.0,1.0,158.0,4,10031.746031746032
Super built-up  Area,Mahalakshmi Layout,1105.0,2.0,1.0,80.0,2,7239.819004524887
Plot  Area,Mahalakshmi Layout,1200.0,3.0,1.0,160.0,4,13333.333333333334
Super built-up  Area,Mahalakshmi Layout,1200.0,2.0,3.0,110.0,3,9166.666666666666
Super built-up  Area,Mahalakshmi Layout,1876.0,3.0,1.0,150.0,3,7995.735607675906
Super built-up  Area,Mallasandra,1665.0,3.0,2.0,95.0,3,5705.705705705705
Super built-up  Area,Mallasandra,1665.0,3.0,2.0,86.58,3,5200.0
Super built-up  Area,Mallasandra,1340.0,2.0,2.0,61.0,2,4552.238805970149
Super built-up  Area,Mallasandra,1325.0,2.0,2.0,70.0,2,5283.018867924528
Super built-up  Area,Mallasandra,1665.0,3.0,2.0,86.91,3,5219.81981981982
Super built-up  Area,Mallasandra,1325.0,2.0,1.0,70.0,2,5283.018867924528
Super built-up  Area,Mallasandra,905.0,2.0,1.0,40.0,2,4419.889502762431
Super built-up  Area,Mallasandra,1325.0,2.0,2.0,65.0,2,4905.66037735849
Built-up  Area,Mallasandra,1325.0,2.0,2.0,73.0,2,5509.433962264151
Super built-up  Area,Mallasandra,1565.0,2.0,2.0,69.0,2,4408.945686900958
Super built-up  Area,Mallasandra,905.0,2.0,1.0,35.0,2,3867.403314917127
Super built-up  Area,Mallasandra,1524.0,2.0,3.0,72.0,3,4724.4094488188975
Built-up  Area,Mallasandra,1100.0,2.0,3.0,76.3,3,6936.363636363636
Super built-up  Area,Malleshpalya,1140.0,2.0,2.0,46.5,2,4078.9473684210525
Super built-up  Area,Malleshpalya,1225.0,2.0,2.0,46.86,2,3825.3061224489797
Super built-up  Area,Malleshpalya,1785.0,3.0,2.0,75.0,3,4201.680672268908
Super built-up  Area,Malleshpalya,1052.0,2.0,2.0,50.0,2,4752.851711026616
Built-up  Area,Malleshpalya,1405.0,2.0,2.0,77.0,3,5480.427046263345
Super built-up  Area,Malleshpalya,1065.0,2.0,2.0,50.0,2,4694.835680751174
Super built-up  Area,Malleshpalya,1210.0,2.0,3.0,55.0,2,4545.454545454545
Super built-up  Area,Malleshpalya,1900.0,3.0,2.0,60.0,3,3157.8947368421054
Super built-up  Area,Malleshpalya,1060.0,2.0,1.0,40.0,2,3773.5849056603774
Super built-up  Area,Malleshpalya,1430.0,2.0,1.0,69.5,3,4860.1398601398605
Built-up  Area,Malleshpalya,1421.0,2.0,1.0,90.0,2,6333.56790992259
Super built-up  Area,Malleshpalya,1245.0,2.0,1.0,55.0,2,4417.6706827309235
Super built-up  Area,Malleshpalya,1200.0,2.0,2.0,46.0,2,3833.3333333333335
Super built-up  Area,Malleshpalya,1225.0,2.0,2.0,52.0,2,4244.897959183673
Super built-up  Area,Malleshwaram,705.0,1.0,2.0,67.0,1,9503.54609929078
Super built-up  Area,Malleshwaram,12000.0,7.0,3.0,2200.0,7,18333.333333333332
Built-up  Area,Malleshwaram,2500.0,5.0,2.0,325.0,4,13000.0
Built-up  Area,Malleshwaram,2006.0,3.0,2.0,297.0,3,14805.583250249252
Super built-up  Area,Malleshwaram,686.0,1.0,1.0,62.5,1,9110.787172011662
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,332.0,3,13414.141414141413
Super built-up  Area,Malleshwaram,2610.0,3.0,2.0,399.0,3,15287.356321839081
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,320.0,3,12929.29292929293
Super built-up  Area,Malleshwaram,900.0,2.0,1.0,95.0,2,10555.555555555555
Super built-up  Area,Malleshwaram,1420.0,2.0,1.0,158.0,2,11126.760563380281
Built-up  Area,Malleshwaram,2000.0,3.0,2.0,250.0,3,12500.0
Super built-up  Area,Malleshwaram,2215.0,3.0,1.0,275.0,3,12415.349887133183
Super built-up  Area,Malleshwaram,1600.0,3.0,3.0,160.0,3,10000.0
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,300.0,3,12121.212121212122
Super built-up  Area,Malleshwaram,2345.0,2.0,2.0,293.0,3,12494.669509594883
Super built-up  Area,Malleshwaram,2600.0,3.0,1.0,237.0,3,9115.384615384615
Super built-up  Area,Malleshwaram,2215.0,4.0,1.0,310.0,3,13995.48532731377
Super built-up  Area,Malleshwaram,480.0,1.0,1.0,60.0,1,12500.0
Super built-up  Area,Malleshwaram,1290.0,2.0,1.0,120.0,2,9302.32558139535
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,326.0,3,13171.717171717171
Super built-up  Area,Malleshwaram,2476.0,3.0,3.0,337.0,3,13610.662358642972
Built-up  Area,Malleshwaram,900.0,2.0,1.0,90.0,2,10000.0
Super built-up  Area,Malleshwaram,2250.0,3.0,1.0,200.0,3,8888.888888888889
Super built-up  Area,Malleshwaram,2050.0,4.0,2.0,270.0,3,13170.731707317073
Built-up  Area,Malleshwaram,900.0,2.0,1.0,72.0,2,8000.0
Super built-up  Area,Malleshwaram,620.0,1.0,1.0,86.8,1,14000.0
Built-up  Area,Malleshwaram,600.0,1.0,0.0,68.0,2,11333.333333333334
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,337.0,3,13616.161616161617
Super built-up  Area,Malleshwaram,2215.0,3.0,2.0,275.0,3,12415.349887133183
Super built-up  Area,Malleshwaram,2215.0,3.0,2.0,330.0,3,14898.419864559819
Built-up  Area,Malleshwaram,2800.0,4.0,2.0,252.0,4,9000.0
Super built-up  Area,Malleshwaram,1020.0,2.0,1.0,80.0,2,7843.137254901961
Plot  Area,Malleshwaram,600.0,1.0,0.0,90.0,2,15000.0
Built-up  Area,Malleshwaram,2200.0,3.0,2.0,275.0,3,12500.0
Super built-up  Area,Malleshwaram,1500.0,2.0,2.0,140.0,2,9333.333333333334
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,340.0,3,13737.373737373737
Super built-up  Area,Malleshwaram,1400.0,2.0,1.0,190.0,2,13571.42857142857
Super built-up  Area,Malleshwaram,2400.0,3.0,2.0,380.0,3,15833.333333333334
Built-up  Area,Malleshwaram,580.0,1.0,1.0,45.0,1,7758.620689655172
Super built-up  Area,Malleshwaram,1410.0,2.0,3.0,125.0,2,8865.248226950354
Super built-up  Area,Malleshwaram,2610.0,4.0,2.0,306.0,4,11724.137931034482
Super built-up  Area,Marathahalli,1310.0,3.0,1.0,63.25,3,4828.244274809161
Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2,4672.131147540984
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2,4333.333333333333
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2,5000.0
Super built-up  Area,Marathahalli,1933.0,3.0,2.0,140.0,3,7242.628039317124
Super built-up  Area,Marathahalli,950.0,2.0,1.0,46.96,2,4943.1578947368425
Super built-up  Area,Marathahalli,1230.0,2.0,2.0,80.0,2,6504.065040650406
Super built-up  Area,Marathahalli,3800.0,4.0,3.0,250.0,4,6578.9473684210525
Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.85,2,4892.051030421982
Super built-up  Area,Marathahalli,1215.0,2.0,1.0,67.0,2,5514.40329218107
Super built-up  Area,Marathahalli,2181.0,3.0,2.0,152.0,4,6969.280146721688
Built-up  Area,Marathahalli,1170.0,2.0,3.0,53.0,2,4529.91452991453
Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.86,2,4893.032384690873
Super built-up  Area,Marathahalli,1325.0,2.0,2.0,71.55,2,5400.0
Super built-up  Area,Marathahalli,1220.0,2.0,1.0,56.5,2,4631.147540983607
Super built-up  Area,Marathahalli,1575.0,3.0,2.0,78.0,3,4952.380952380952
Super built-up  Area,Marathahalli,1152.0,2.0,1.0,56.0,2,4861.111111111111
Super built-up  Area,Marathahalli,1610.0,3.0,1.0,90.0,3,5590.062111801242
Super built-up  Area,Marathahalli,1146.0,2.0,1.0,70.0,2,6108.202443280978
Super built-up  Area,Marathahalli,4000.0,5.0,2.0,212.0,4,5300.0
Super built-up  Area,Marathahalli,1469.0,3.0,1.0,89.0,3,6058.543226684819
Super built-up  Area,Marathahalli,1530.0,3.0,2.0,74.5,3,4869.281045751634
Super built-up  Area,Marathahalli,1840.0,3.0,3.0,98.0,3,5326.086956521739
Built-up  Area,Marathahalli,3951.0,4.0,2.0,220.0,4,5568.2105796001015
Super built-up  Area,Marathahalli,1350.0,2.0,2.0,62.0,3,4592.592592592592
Super built-up  Area,Marathahalli,2519.0,5.0,2.0,185.0,4,7344.184200079397
Super built-up  Area,Marathahalli,1385.0,2.0,2.0,66.65,3,4812.274368231047
Super built-up  Area,Marathahalli,957.0,2.0,1.0,46.9,2,4900.73145245559
